アーティスト,曲名,歌詞,ラベル
米津玄師,LADY,例えば僕ら二人　煌めく映画のように出会いなおせたらどうしたい何も謎めいてない　今日は昨日の続き日々は続くただぼんやり微かな足音　シーツの置く場所それだけで全てわかってしまうよ見え透いた嘘も隠した本当もその全て愛おしかったレディー　笑わないで聞いてハニー　見つめ合っていたくて君と二人　行ったり来たりしたいだけベイビー　子供みたいに恋がしたい書き散らしていく僕らのストーリーライン例えばどっちか一人　ひどい不幸が襲い二度と会えなくなったら考えた矢先に　泣けてしまうくらい日々は続く一層確かにいつもの暗い顔　チープな戯言見過ごすようにまた優しいんだろう見え透いた嘘も隠した本当もその目から伝わってきた引っ張ったり噛み付いたり　傷ついたふりしてみたり明日の朝に持ち越したり　浮ついたりして思いきり傷つきたい　いつまでもそばにいたい今すぐ行方をくらまそうレディー　何も言わないでハニー　僕の手を取ってくれ君以外に　考えられないだけベイビー　あの頃みたいに恋がしたい書き散らしていく　踊り続けるレディー　笑わないで聞いてハニー　見つめ合っていたくて君と二人　行ったり来たりしたいだけベイビー　子供みたいに恋がしたい書き散らしていく僕らのストーリーライン,0
米津玄師,アイネクライネ,あたしあなたに会えて本当に嬉しいのに当たり前のようにそれらすべてが悲しいんだ今痛いくらい幸せな思い出がいつか来るお別れを育てて歩く誰かの居場所を奪い生きるくらいならばもうあたしは石ころにでもなれたならいいなだとしたら勘違いも戸惑いもないそうやってあなたまでも知らないままであなたにあたしの思いが全部伝わってほしいのに誰にも言えない秘密があって嘘をついてしまうのだあなたが思えば思うよりいくつもあたしは意気地ないのにどうして消えない悲しみも綻びもあなたといればそれでよかったねと笑えるのがどんなに嬉しいか目の前の全てがぼやけては溶けてゆくような奇跡であふれて足りないやあたしの名前を呼んでくれたあなたが居場所を失くし彷徨うくらいならばもう誰かが身代わりになればなんて思うんだ今　細やかで確かな見ないふりきっと繰り返しながら笑い合うんだ何度誓っても何度祈っても惨憺たる夢を見る小さな歪みがいつかあなたを呑んでなくしてしまうようなあなたが思えば思うより大げさにあたしは不甲斐ないのにどうしてお願い　いつまでもいつまでも超えられない夜を超えようと手をつなぐこの日々が続きますように閉じた瞼さえ鮮やかに彩るためにそのために何ができるかなあなたの名前を呼んでいいかな産まれてきたその瞬間にあたし「消えてしまいたい」って泣き喚いたんだそれからずっと探していたんだいつか出会える　あなたのことを消えない悲しみも綻びもあなたといればそれでよかったねと笑えるのがどんなに嬉しいか目の前の全てがぼやけては溶けてゆくような奇跡であふれて足りないやあたしの名前を呼んでくれたあなたの名前を呼んでいいかな,0
米津玄師,あたしはゆうれい,真っ赤な林檎に小さなランプ灯りが射し込んだソファの上であなたはいつものように眠ってあたしは鏡の中でひたすら悪夢が遠のくように祈ったあなたの瞳はいつだって綺麗で心の奥まで見透かすようだその水晶体が映す世界であたしはどうにか生きてみたくてひたすら心に檸檬を抱いたあたしはゆうれい　あなたにみえないひとひらの想いも　伝わらないそれでも愛を　あたしの名前を教えてほしいの　その口からひゅるるお船のメロンにナイフとフォーク綺麗に並んだテーブルの上であなたは美味しそうにそいつを食べたあたしは鏡の中でひたすらあなたが生きてる姿を見ていたあたしの体は半透明で見透かすものなど何にもないやそれでもやっぱり涙がでるのおねがいよあなたのその一言であたしの体に血を巡らせてあたしはゆうれい　あなたはしらない涙の理由も　その色さえもそれでもきっと　変わらずにずっとあなたが好きよ　馬鹿みたいねひゅるるらるら　らりら　らったるったったるらいらあたしはゆうれい　あなたにみえないひとひらの想いも　伝わらないそれでも愛を　あたしの名前を教えてほしいの　その口からあたしはゆうれい　あなたはしらない涙の理由も　その色さえもそれでもきっと　変わらずにずっとあなたが好きよ　馬鹿みたいねひゅるる,0
米津玄師,雨の街路に夜光蟲,震えていたのは君の手か僕の手の方か街のライトが雨に照らされて弾ける夜に僕らはただ大人になりたくて　背伸びをしてチグハグな言葉を交わしあって　笑いあったんだ二人でだったら行けるよね　地球の隅っこへ誰も知らない約束を交わしあって僕ら歩いて行くんだ大げさなほどに愛を歌うよ悲しい歌を塗りつぶすように曖昧な作りの間違い探しみたいだった何が間違いで何が正しいかわからない僕らはただ「これで正しいんだ」と強がったけど本当はわかってたよ　道の先に何があるのか何度だって誓い合って今　地球の隅っこへ誰も知らない約束が重なった手と手に握られた馬鹿にされたって愛を歌うよ君とどこまでも行けるようにさめないでって　きえないでって馬鹿みたいに願っているんだどこにだって行けるんだってばればれの嘘をついていた誰も知らない約束を交わしあって僕ら歩いて行くんだ大げさなほどに愛を歌うよ悲しい歌を塗りつぶすように消えたい時も気持ちいい時もいつだってそばにいられるように誰も知らない約束が強まる雨に流れないように君とどこまでも行けるように,0
米津玄師,あめふり婦人,街がびしゃびしゃ濡れる夜までは確かに声で溢れていた今ではおよそ耐え難いくらいの静けさ達がここに居た不遜な心ばかり強くなる私に愛をくださいないっとう重ねて弾ける泡沫さびしくなってどうしようもない真赤な笛の音　はしゃぐ子供たち遠くのほうへ行くようだ俄かに雨が降り出すみたいに通りすがって消えていったおどろに揺れるマッチの灯を抱えどうやらとても暖かく何故だか嫌に静かで煩い心満たしてよ！それはつかの間の恋心明日になったら肥える灯を消してよつまらないことばかり知らずのまにまに気が触れて適当な言葉が澱むまま夜の底へ行く列車に乗りましょういけないと知りながら愛されたいのはあなただけ街がびしゃびしゃ濡れる夜までは確かに声で溢れていた今ではおよそ耐え難いくらいの静けさ達がここに居た魚が揺れる雨に苛まれどうやらとても暖かく何故だか嫌に静かで煩い心満たしてよ！それはでたらめな恋模様明日になったら肥える灯を消してよつまらないことばかり知らずのまにまに気が触れて適当な言葉が澱むまま夜の底へ行く列車に乗りましょういけないと知りながら愛されたいのはあなただけ雨降って溺れる街角で確かなことなど何にもなくなってくだらないことばかり知らずのまにまに積み上げて落とせその腕の荷物をさ夜へ沈むには邪魔になるだけだろういけないと知りながら愛されたいのはあなただけ,0
米津玄師,amen,馬が走る　黒いアスファルトの上荒んだ並木　風もなし　香りだす雨の気配東京はフラスコの中の風景迷い込んでは泣いていたのは遠い遠い昔光の澱に　道草を誘う亡霊九つの門を通り抜けてあの山の麓へと空っぽの花瓶に活ける花を探している恥ずかしいくらい生き急いでいた遠い遠い昔お願い　ママ　パパ　この世に生まれたその意味を教えて欲しいの　わたしに悲しい思い出はいらないから　ただただ美しい思い出を祈りの言葉を怒りが満ちる　黒い炎を纏ってどうかわたしの　この心を　赦してくれやしないかさもなければ　その清い雷を以ってわたしの身を　灰になるまで　焼いてくれないか音を立てて燃える部屋の中ひとり歯軋りみたいに火の粉は舞う　酸素を食べて育つありがとう　今　身をやつす苦渋の全てに再会を願い　今日はおやすみ　また明日お願い　ママ　パパ　この世に生まれたその意味を教えて欲しいの　わたしに悲しい思い出はいらないから　ただただ美しい思い出を祈りの言葉を,0
米津玄師,Alice,真っ逆さまに落っこちた　ふとした刹那につまづいてマンホールの中に落っこちた　そこからはパラノイア心臓のあたりで少年が　ひたすらバタバタ駆け巡るまま今日は何して遊ぼうか　がらくたの街の中姦しまやかしお伽の国で　兎の背中を追いかけていたどこかの誰かが蓋を開いて　ばら撒いた空騒ぎを見ていた曖昧な意識で彷徨った　摩訶不思議なアドベンチャー虚しさを抱えたまんま　愛を使い果たした何の話をしていたっけ　フラついて零したブランデー全てを明日に任せて踊ろうぜもっと真っ逆さまに落っこちた　さよなら数多のつまらぬ日々よ計画もなく息巻いて　飛び込んだメトロの中こんな日々すら万が一　夢幻ならどうしようかまあそんならそれで大歓迎　こんにちは元の鞘「この街はもう駄目だすぐに逃げろ」と　メゴラに跨る魔女が言う実を言うならばそんなこと知ってんだ　とかくわたしは疲れ果てたんだ曖昧な意識で彷徨った　摩訶不思議なアドベンチャー虚しさを抱えたまんま　愛を使い果たした何の話をしていたっけ　フラついて零したブランデーまだまだまだ今日よ続けと歌おうぜもっと曖昧な意識で彷徨った　摩訶不思議なアドベンチャー虚しさを抱えたまんま　愛を使い果たした何の話をしていたっけ　フラついて零したブランデー全てを明日に任せて踊ろうぜもっと遠くで何かが燃えていた　真っ黒焦げ星とタイヤ側には群がる人と　目を見張るドローン何の話をしていたっけ　染み付いて残ったブランデー全てを明日に任せて踊ろうぜもっと※曲名の正式表記は、Aliceの中国語簡体字表記となります。,0
米津玄師,Undercover,どうやってあがいたって　逃げられやしないもんだって理解してみたってどうしようもないさあ今夜逃げ出そうぜ　ありったけのお菓子もってきっと役に立つと銃も携えてハッピーなエンドがいいんだよ　誰だって喜べるみたいなさそんなことを思いながら僕はずっと生きていくのかいつかもし僕の心が　完全に満たされたとしたならその瞬間に僕は引き金をひきたいどんな今も呑み込んでいけば過去に変わっていく進む方はただひとついつだってさ　この退屈をかみちぎり僕は駆け抜けて会いにいくんだあのトンネルの先へさ簡単に思えたって　上手くはいかないんだってもう散々確かめたことだったのにもういいやなんて言って　引き返そうとしたって一体全体どこへと帰るのですかラッキーなヒットでいいんだよ　こんな苦しみを味わうよりそんなことを思いながら僕は　きっと生きていくんだないつかもし僕の心が　完全に満たされたとしたなら？その瞬間へ辿り着くにはどうすれば？どんな今も笑っているうちに錆び付いていくんだ後戻りは無理なもんだいつだってさ　不安の腹にナイフを突き刺して闇雲に手を伸ばした何を掴むや知らずにどんな今も呑み込んでいけば過去に変わっていく進む方はただひとついつだってさ　この退屈をかみちぎり僕は駆け抜けて会いに行くんだ消し去ってよ　この憂いも全て木っ端微塵にしてさ行ける方へ　ただ向こうへそんじゃ今は　何もうたわない夜に沈もうかやがて来る朝を待って,0
米津玄師,アンビリーバーズ,ヘッドライトに押し出されて　僕らは歩いたハイウェイの上をこの道の先を祈っていた　シャングリラを夢見ていた誰がどんなに疑おうと　僕は愛してるよ君の全てをもしも神様がいたのならば　僕と同じことを言うだろう何されたって　言われたっていい傷ついても平気でいられるんだだから手を取って　僕らと行こうぜここではない遠くの方へ今は信じない　果てのない悲しみを太陽を見ていた　地面に立ちすくんだままそれでも僕ら　空を飛ぼうと　夢を見て朝を繋いでいく全て受け止めて一緒に笑おうかテールライトに導かれて　僕らは歩いたハイウェイの上を気がつけば背負わされていた　重たい荷物を捨てられずに誰のせいにもできないんだ　終わりにしようよ後悔の歌は遠くで光る街明かりに　さよならをして前を向こう貶されようと　馬鹿にされようと君が僕を見つめてくれるならキラキラ光った　パチパチ弾いた魔法だって使えるような今は信じない　残酷な結末なんて僕らアンビリーバーズ　何度でも這い上がっていく風が吹くんだ　どこへいこうと　繋いだ足跡の向こうへとまだ終わらない旅が　無事であるようにそうかそれが光ならば　そんなもの要らないよ僕はこうしてちゃんと生きてるから　心配いらないよ帰る場所も無く僕らは　ずっと向こうまで逃げるんだどんな場所へ辿り着こうと　ゲラゲラ笑ってやろうぜ今は信じない　果てのない悲しみを太陽を見ていた　地面に立ちすくんだままそれでも僕ら　空を飛ぼうと　夢を見て朝を繋いでいく全て受け止めて一緒に笑おうか,0
米津玄師,ETA,人のいない空港　鳥は歌うように呟いたいつまでもいつまでも道は続いていくとささやかな想いが　光を反射して輝いたあの日々にいつの日か戻れますようにと木漏れ日が射していく　鮮やかに運ぶレスキュー誰にも似てないモンタージュこの先で待っている　あなたへと会いにいく会いにいくさあ起きて　子供たち今日は　この庭を綺麗な花で飾りましょうもうおやすみ　古い友達どうか安らかな夢で眠れますようにるるる行きも帰りもいない　それでも飛び交うETAいつまでもいつまでも道は続いていくよ夢の中みたいだ　夢の中みたいだ　夢の中泥濘に落ちていく　味のしないビーフシチュー手紙の返事は延滞中この先で待っている　あなたへと会いにいく会いにいくさあ起きて　子供たち今日は　この庭を綺麗な花で飾りましょうもうおやすみ　古い友達どうか安らかな夢で眠れますようにるるる,0
